fund_id,fund_name,parent_company,fund_size,greatstone_return_rating,greatstone_risk_rating,fund_ratio_net_annual_expense,10_years_return_mean_annual_fund,10_years_return_fund,3_years_return_mean_annual_fund,fund_return_3years,2012_fund_return,aaa_rating,10_years_beta_category,3_years_return_mean_annual_category,5_years_alpha_fund,10_years_alpha_fund,10yrs_sharpe_ratio_fund,3_years_alpha_fund,cash_percent_of_portfolio,10_years_beta_fund,10_years_return_mean_annual_category,5yrs_sharpe_ratio_fund,3yrs_sharpe_ratio_fund,2016_return_fund,2010_return_fund,yield,portfolio_energy_allocation,aa_rating,portfolio_property_allocation,5_years_return_mean_annual_fund,5_years_return_fund,portfolio_financial_services,stock_percent_of_portfolio,b_rating,portfolio_cyclical_consumer_allocation,2016_return_category,below_b_rating,2017_return_fund,return_ytd,ytd_return_fund,fund_return_3months,2014_return_fund,pb_ratio,1_year_return_fund,portfolio_tech_allocation,10years_fund_std,portfolio_healthcare_allocation,portfolio_others,2010_return_category,years_down,3_years_return_category,5_years_beta_category,2018_return_fund,greatstone_rating
f2936057-6df5-4757-9dd5-409f11d981e8,AMG TimesSquare Mid Cap Growth Fund Class Z,AMG Funds,Medium,3.0,2.0,0.98,1.29,15.49,1.14,13.73,18.71,0.0,0.01,0.01,-1.85,-1.14,1.06,-0.46,3.16,1.06,0.01,0.71,1.03,7.53,18.18,0.0,1.31,0.0,4.14,0.78,8.99,11.98,96.84,0.0,12.33,6.03,0.0,22.63,16.67,16.67,16.67,5.34,3.25,8.67,20.47,14.2,14.6,0.0,24.61,3.0,14.18,0.01,-4.39,3
a9f2b3ce-d611-4719-9907-25eb10564f57,Putnam Massachusetts Tax Exempt Income Fund Class C,Putnam,Medium,2.0,3.0,1.57,0.31,3.69,0.11,1.32,6.57,12.59,0.01,0.0,-1.01,-1.26,0.8,-1.17,3.88,1.07,0.0,0.58,0.02,-0.51,1.6,2.07,0.0,50.65,0.0,0.2,2.41,0.0,0.0,0.0,0.0,-0.23,0.0,3.94,2.41,2.41,2.41,8.93,0.0,3.42,0.0,4.06,0.0,0.0,1.08,4.0,1.77,0.01,-0.56,2
a007bb1b-f8a8-4abf-8429-6e66acb4c2fc,FundX Upgrader Fund,Fund X,Large,4.0,4.0,1.89,1.03,12.07,0.94,11.16,12.97,0.0,0.02,0.01,-0.53,-2.21,0.87,-1.23,4.66,1.56,0.01,0.59,0.86,5.13,12.2,0.0,1.66,0.0,1.59,0.67,7.51,12.36,95.11,0.0,14.16,8.45,0.0,15.35,14.13,14.13,14.13,8.32,4.57,8.38,28.04,13.75,15.71,0.09,14.83,4.0,9.6,0.02,-3.71,4
5be85318-fd20-4875-af01-4544066ca707,Invesco Balanced-Risk Retirement 2040 Fund Class RX,Invesco,,1.0,1.0,1.4,0.82,9.91,0.62,7.38,10.19,0.0,0.01,0.01,0.14,2.05,1.04,0.42,20.97,0.82,0.01,0.56,0.85,13.68,,2.91,0.0,0.0,0.0,0.41,4.73,0.0,21.43,0.0,0.0,7.95,0.0,11.57,9.7,9.7,9.7,6.99,0.0,2.39,0.0,9.01,0.0,9.62,14.37,2.0,9.54,0.01,-8.44,1
48dbf6e9-8055-40d0-8f1f-c8b3079f224b,ICON Long/Short Fund Class A,ICON Funds,Large,2.0,3.0,1.55,0.93,10.55,1.13,13.01,12.32,0.0,0.01,0.01,-5.86,-4.48,0.74,-3.87,0.38,1.0,0.01,0.42,0.76,10.55,2.98,0.0,9.13,0.0,0.02,0.63,6.48,31.51,99.63,0.0,9.5,6.03,0.0,26.41,18.72,18.72,18.72,6.77,2.38,-2.84,6.89,14.46,13.31,0.0,24.61,3.0,14.18,0.01,-16.91,2
fdebc098-6b77-4d12-b57a-307482a3b2e3,Yorktown Mid-Cap Fund Institutional Class,Yorktown Funds,Medium,0.0,0.0,1.1,,0.0,,0.0,,0.0,0.01,0.01,,,,,4.71,,0.01,,,,,0.18,11.45,0.0,0.0,,0.0,23.8,95.29,0.0,9.68,14.14,0.0,7.29,12.53,12.53,12.53,,1.19,-14.99,12.7,,19.44,0.0,,1.0,9.67,0.01,-26.84,0
73abc8a9-29a3-4ad5-a235-b62713cb0ac9,Catalyst Insider Income Fund Class I,Catalyst Mutual Funds,,5.0,4.0,0.76,,0.0,0.34,4.15,,0.0,0.0,0.0,,,,2.74,13.6,,0.0,,1.81,6.4,,2.42,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.08,0.0,2.13,2.45,2.45,2.45,,0.0,4.45,0.0,,0.0,0.0,,1.0,1.87,0.0,3.19,5
05bd4f01-0db6-436e-9c79-1bc9151b8909,PIMCO Emerging Markets Corporate Bond Fund Institutional Class,PIMCO,Small,3.0,2.0,0.92,,0.0,0.58,7.1,16.98,0.0,0.01,0.0,1.84,,,5.21,9.25,,0.01,0.42,1.55,13.18,12.4,4.79,100.0,0.0,0.0,0.28,3.21,0.0,0.08,0.0,0.0,10.51,0.0,9.01,4.5,4.5,4.5,-1.82,0.57,4.49,0.0,,0.0,0.0,12.34,4.0,5.35,0.01,-0.68,4
0a65191e-72dd-4383-8775-119f51886432,AQR Small Cap Relaxed Constraint Equity Fund Class R6,AQR Funds,Small,0.0,0.0,1.63,,0.0,,0.0,,0.0,0.01,0.01,,,,,0.49,,0.01,,,,,0.0,2.65,0.0,2.98,,0.0,13.46,99.51,0.0,16.87,,0.0,5.36,10.07,10.07,10.07,,1.92,-6.26,19.27,,15.69,0.0,,1.0,10.17,0.01,-18.53,0
93efa89b-4bf4-4953-a232-b9d786d16050,Victory RS Small Cap Growth Fund Class Y,Victory,Small,5.0,4.0,1.14,1.58,18.78,1.69,20.63,15.15,0.0,0.01,0.01,-1.82,0.3,1.02,2.12,1.85,1.2,0.01,0.63,1.12,1.16,28.27,0.0,2.03,0.0,0.0,1.01,11.03,7.14,98.15,0.0,12.46,11.2,0.0,37.23,22.82,22.82,22.82,9.65,3.21,6.08,26.58,18.19,24.98,0.0,26.98,3.0,15.88,0.01,-8.72,4
